timestamp,market_slug,condition_id,token_id_up,token_id_down,bid_up,ask_up,mid_up,bid_depth_up,ask_depth_up,spread_up,bid_down,ask_down,mid_down,bid_depth_down,ask_depth_down,spread_down,btc_price,time_remaining_s,market_start_ts,market_end_ts
2026-04-18T03:08:19.897001,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.55,0.56,0.555,41.52,809.19,0.01,0.44,0.45,0.445,593.07,38.99,0.01,77193.76,100.4,1776474300.0,1776474600.0
2026-04-18T03:08:22.172089,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.62,0.64,0.63,263.63,609.91,0.02,0.36,0.37,0.365,292.4,148.65,0.01,77193.76,98.1,1776474300.0,1776474600.0
2026-04-18T03:08:24.443604,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.66,0.67,0.665,749.69,1235.86,0.01,0.33,0.34,0.335,538.24,428.72,0.01,77193.77,95.8,1776474300.0,1776474600.0
2026-04-18T03:08:26.711601,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.66,0.67,0.665,915.6,1021.76,0.01,0.33,0.34,0.335,454.85,513.86,0.01,77193.77,93.6,1776474300.0,1776474600.0
2026-04-18T03:08:28.982934,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.66,0.67,0.665,779.53,979.45,0.01,0.33,0.34,0.335,436.77,440.97,0.01,77193.76,91.3,1776474300.0,1776474600.0
2026-04-18T03:08:31.255738,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.53,0.64,0.585,86.03,1063.52,0.11,0.37,0.48,0.425,429.81,159.76,0.11,77185.49,89.0,1776474300.0,1776474600.0
2026-04-18T03:08:33.528690,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.48,0.49,0.485,508.9,287.55,0.01,0.52,0.53,0.525,292.15,672.72,0.01,77185.5,86.7,1776474300.0,1776474600.0
2026-04-18T03:08:35.800774,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.46,0.47,0.465,743.55,531.76,0.01,0.53,0.54,0.535,591.43,962.14,0.01,77185.49,84.5,1776474300.0,1776474600.0
2026-04-18T03:08:38.080226,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.46,0.47,0.465,671.61,655.91,0.01,0.53,0.54,0.535,775.4,884.54,0.01,77185.5,82.2,1776474300.0,1776474600.0
2026-04-18T03:08:40.349078,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.45,0.46,0.455,959.02,378.7,0.01,0.54,0.55,0.545,409.11,1259.39,0.01,77185.5,79.9,1776474300.0,1776474600.0
